accom_name,type,description,address,latitude,longitude,accom_tel,ava_dates_start,ava_dates_end
가평 하이랜드,PENSION,"가평 하이랜드는 맑은 물과 청정자연을 자랑하고 있는 가평군에서도 가장 자연 경관이 수려한 명지산 자락에 위치하고 호텔, 펜션, 방갈로, 카페, 단체식당 및 취사장을 갖추고 있는 종합레저타운입니다.",경기도 가평군 북면 가화로 2369-19,127.4766117,37.95248785,031-581-2256,2024-12-24,2024-12-31
가평미라몬티풀빌라펜션,PENSION,고지대에 위치하여 탁 트인 전망을 자랑하는 펜션입니다,경기도 가평군 가화로 1364-59,127.5134792,37.90231382,0103274-7691,2024-12-24,2024-12-31
그린캠프유스호스텔,RESORT,"삼림욕을 즐길 수 있는 낙엽송과 잣난무숲이 병풍처럼 놓여있고, 옆으로는 맑고 깨끗한 물이 흐르는 그린캠프유스호스텔은 서울에서 1시간 거리에 위치하여 있으므로 주말을 가족이나 친구들, 동료와 함께 보내려는 이들에게는 안성맞춤입니다.",경기도 가평군 북면 화악산로 729-64,127.5537941,37.93214165,031-581-5304,2024-12-24,2024-12-31
글램트리리조트,RESORT,천연 계곡이 주변에 위치하여 자연 속 맑은 공기와 함께 휴식을 누릴 수 있는 리조트입니다 iF세계 건축 디자인 어워드를 수상한 글램트리 리조트에서 조경과 자연의 어우러짐을 느낄 수 있습니다,경기도 가평군 상면 돌아우길 73,127.3216918,37.78639601,010-1546-3641,2024-12-24,2024-12-31
남이섬하늘사랑,PENSION,"남이섬하늘사랑펜션은 예쁜 정원과 아늑한 분위기의 복층구조로 우드톤의 따스한 감성을 느낄 수 있습니다. 남이섬 차로 1분, 도보 5분/ 자라섬 차로 5분, 도보 15분/가평역 차로 5분, 도보 15분 거리에 위치하고 있습니다.",경기도 가평군 가평읍 북한강변로 1101-11,127.5227144,37.80997474,010-1147-3736,2024-12-24,2024-12-31
더 스테이호텔,HOTEL,감성의 호텔 가든과 숲 속에 있는 느낌을 주는 호텔 포레스트가 있어 자연에서 HEALING이 가능한 숙박 공간입니다,경기도 가평군 보납로 73 더스테이,127.5187447,37.83196933,031-581-5711,2024-12-24,2024-12-31
멍펜션,PENSION,"각동 마다 개별잔디 마당, 독채가 있습니다 반려견과 함께하는 가장 특별한 여행이 될 것입니다",경기도 가평군 조종면 현등사길 55-361,127.3438654,37.85928793,010-3495-7851,2024-12-24,2024-12-31
무아레 도그라운드,PENSION,"무아레 도그라운드는 35,000평의 가평 최대 규모 애견동반펜션으로 객실, 카페&레스토랑, 온수풀 수영장, 연회장, 세미나실 등 다양한 부대시설을 갖추어 가치 있는 쉼의 공간을 선사합니다.",경기도 가평군 청평면 북한강로1636번길 25,127.3841979,37.66726934,010-9141-1636,2024-12-24,2024-12-31
무아레478,PENSION,"MOIRE는 자연을 벗 삼아 여유롭게 즐길 수 있는 개인 별장형 리조트이다. 앞에는 북한강, 뒤에는 화야산으로 둘러싸인 이곳은 각각 다른 분위기와 특색을 지닌 별장이 있어 취향에 맞게 객실을 선택할 수 있습니다.",경기도 가평군 청평면 삼회리,127.3848089,37.66667219,010-4413-4974,2024-12-24,2024-12-31
반디빌리지,PENSION,천연잔디로 만들어진 각 객실 앞 개별운동장이 있어 자유롭게 뛰어 놀 수 있습니다 (공용운동장도 구비) 반려견 입수가 가능한 개별수영장과 수영 후 깨끗하게 목욕까지 할 수 있는 스파 장비가 객실마다 구비 되어 있는 최고의 시설 우리 가족인 댕댕이에게 최고의 추억을 남겨 드리겠습니다,경기도 가평군 묵안로 287,127.5077289,37.64516306,010-3937-5599,2024-12-24,2024-12-31
강화유스호스텔,RESORT,민족의 자존심을 지키기 위해 목숨 바쳐 싸운 고려의 삼별초의 혼과 얼이 있는 외포리 바다를 바라보며 정포마을의 산 중턱에 위치한 유스호스텔입니다.,인천광역시 강화군 내가면 해안서로 972,126.3745585,37.70453858,032-933-8891,2024-12-24,2024-12-31
강화평화빌리지,PENSION,강화평화빌리지는 강화군시설관리공단에서 운영하는 숙박장소다. 민통선 가까이 있는 휴식공간 입니다.,인천광역시 강화군 송해면 상도숭뢰길 183,126.4771468,37.78669191,032-930-7058,2024-12-24,2024-12-31
경원재 앰배서더 인천,HOTEL,최첨단 국제도시 인천 송도 안에 고풍스러운 전통미를 뿜어내며 장관을 연출하는 특 1급 한옥 호텔입니다 최상의 서비스와 쾌적한 휴식 공간을 제공합니다,인천광역시 연수구 테크노파크로 200,126.6378264,37.39235731,032-729-1101,2024-12-24,2024-12-31
고추잠자리,MOTEL,"전객실 에이스 침대 설치완료 토,일요일 대실 8시간이용 선착순 마감 세스코 멤버스 존 일회용품 (칫솔,치약등) 사용규제 강화에 따라 구매 희망하시는분들에게 1000원에 판매하고있습니다 .",인천광역시 부평구 동암광장로4번길 12,126.7016156,37.47049659,032-421-0381,2024-12-24,2024-12-31
골드코스트호텔 인천,RESORT,"인천 호구포역 도보 1분 거리, 인천국제공항까지 차량 30분거리에 위치한 교통의 요충지로 문화, 관광, 쇼핑 비즈니스를 위한 최적의 장소입니다 주변 관광지로는 소래포구, 센트럴파크송도, 송도컨벤시아, NC큐브 커낼워크쇼핑몰, 인천상륙작전기념관, 인천 차이나타운 등이 인접하여 있습니다",인천광역시 남동구 논현로26번길 46 (논현동),126.7079892,37.40249349,032-439-5800,2024-12-24,2024-12-31
구월호텔,RESORT,모든 예약어플 사이트 등 모든 제휴사에 관련법령에 맞게 변경중에있습니다 연박 예약시 요금이 발생합니다.,인천광역시 남동구 선수촌공원로23번길 1,126.7097185,37.44094183,032-465-9229,2024-12-24,2024-12-31
그랜드 하얏트 인천,RESORT,"인천국제공항 차량 4분 거리에 위치한 특1급 호텔로서 송도 국제도시, 인천경제자유구역 등 비즈니스 지역 및 서울, 인천과 편리한 접근성으로 여행객과 비즈니스 고객에게 최적의 장소입니다 자기부상열차 운행의 시작으로 을왕리해수욕장, 무이도 등 주변 관광지까지 쉽게 이동할 수 있습니다",인천광역시 중구 영종해안남로321번길 208,126.4574443,37.44044023,032-745-1234,2024-12-24,2024-12-31
글로스터호텔 인천,RESORT,인천광역시 소래포구역에 위치한 4성급 호텔입니다 글로스터 호텔 인천은 관광지인 소래포구와 도보 5분 거리에 위치해있습니다,인천광역시 남동구 소래역로 36,126.7354589,37.40034144,032-460-1100,2024-12-24,2024-12-31
노을&바다 펜션,PENSION,편안하게 힐링 할 수 있습니다,인천광역시 옹진군 영흥면 영흥서로 465-22,126.4569821,37.27929505,070-4630-6444,2024-12-24,2024-12-31
베스트웨스턴 프리미어 인천 에어포트 호텔,HOTEL,베스트웨스턴인천에어포트호텔은 고객 한 분 한 분의 만족을 위해 신속하고 정성 어린 서비스를 제공하기 위해 최선을 다하고 있습니다.,인천광역시 중구 공항로424번길 48-27,126.4574859,37.44119014,032-743-1000,2024-12-24,2024-12-31
더블루힐 주문진,PENSION,"문진 종합버스터미널에서 차로 7분 정도 소요되며, 강릉역에서는 차로 26분 정도 소요됩니다. 드라마 도깨비의 촬영 장소로 유명한 주문진항이 숙소에서 차로 4분거리에 위치해 있습니다.",강원특별자치도 강릉시 주문진읍 주문북로 147-32,128.8183135,37.90372455,033-505-1119,2024-12-24,2024-12-31
나인원펜션,PENSION,프라이빗한 공간에서 함께 여행의 즐거움을 만끽할 수 있어요,강원특별자치도 강릉시 안현로 114-12,128.8705731,37.80256784,010-7410-9594,2024-12-24,2024-12-31
강릉ing게스트하우스,GUESTHOUSE,저희 강릉ing게스트하우스는 청결을 가장 중요시 합니다 깨끗한 이부자리에서 편안한 잠자리가 될 수 있도록 노력합니다 강릉여행 중 피곤한 몸을 편안한 잠자리에서 숙면을 취할 수 있도록 최선을 다할것입니다 즐거운 강릉여행을 원하시는 분 대환영입니다,강원특별자치도 강릉시 용지각길 19,128.905624,37.76156772,010-5919-0050,2024-12-24,2024-12-31
강릉게스트하우스 중앙점,GUESTHOUSE,"강릉 버스터미널과 가장 가까운 게스트하우스! 강릉역, 강릉 중앙시장 근처에 있는 강릉게스트하우스 중앙점입니다 강릉에서 교통이 가장 좋은 강릉시내 중심에 위치해 있기 때문에 강릉의 어느 여행지이든 편리한 교통으로 여행하실 수 있는 강릉 여행 최고의 베이스캠프입니다",강원특별자치도 강릉시 경강로2103번길 17,128.8954528,37.75640423,010-9299-7199,2024-12-24,2024-12-31
바다와펜션,PENSION,"푸른 바다를 한아름 담아가는 곳, 바다와펜션에 오신 것을 환영합니다.",강원특별자치도 강릉시 사천면 해안로 1081,128.869308,37.84547119,033-581-3167,2024-12-24,2024-12-31
블루앤펫,PENSION,강릉 경포대 옆 강문해변에 반려동물 동반이 가능한 펜션입니다 반려동물과 편안한 잠자리와 힐링하는 하루를 즐기시길 바랍니다,강원특별자치도 강릉시 창해로350번길 25,128.9172913,37.79638614,010-4747-4856,2024-12-24,2024-12-31
강릉오죽한옥마을,GUESTHOUSE,강릉오죽한옥마을은 조선시대 대학자 율곡 이이의 사상을 전파하고 한옥의 우수성을 알리기 위해 조성된 강릉의 대표 문화공간입니다.,강원특별자치도 강릉시 죽헌길 114,128.879548,37.77750425,033-655-1117,2024-12-24,2024-12-31
경포도도애견펜션,PENSION,2019년 1월 전객실 인테리어를 리모델링해서 새로 오픈하여 최상의 룸을 유지하고 있습니다.,강원특별자치도 강릉시 하남길 197-15,128.8856799,37.8081786,010-3867-5182,2024-12-24,2024-12-31
경포비치펜션,PENSION,답답한 일상에서 벗어나 마음의 안식과 쾌적함을 느끼실 수 있도록 블루 비치펜션은 늘 준비하고 있습니다,강원특별자치도 강릉시 하남길 345-3,128.8994564,37.80881213,010-8792-9721,2024-12-24,2024-12-31
경포우성펜션,PENSION,경포우성펜션은 강릉 경포호수 옆 경포대 정자에서 바다쪽으로 호수를 따라 1.2km 정도 지나다 보면 송림으로 가려져 사람들의 눈에 잘 띄지 않는 곳에 자리 잡고 있습니다.,강원특별자치도 강릉시 경포로463번안길 9-3,128.9019564,37.8015408,033-644-5048,2024-12-24,2024-12-31
광림모텔,MOTEL,실용적인 공간과 세련된 인테리어로 짧지만 만족스러운 숙박을 제공합니다.,강원특별자치도 속초시 청대로 2,128.600294,38.18394332,033-636-0096,2024-12-24,2024-12-31
굿모닝가족호텔,HOTEL,"호텔의 품격에 콘도의 실용성을 더해 세련된 객실 분위기에 콘도의 편리함을 만끽하실 수 있도록 배려했으며 편안한 자유여행 스타일을 즐기시는 가족 연인, 여행객들에게 적합합니다.",강원특별자치도 속초시 해오름로 204,128.6003327,38.19064532,033-632-3434,2024-12-24,2024-12-31
뉴스타트설악리조트,RESORT,"뉴스타트설악리조트는 강원도 속초 설악산국립공원 입구에 위치해 주변 경관이 뛰어나고 조용하며, 적송과 상쾌한 솔향이 주변을 감싸고 있어 힐링하기에 좋습니다.",강원특별자치도 속초시 설악산로836번길 6,128.5171326,38.16849628,033-637-2239,2024-12-24,2024-12-31
대궐파크,MOTEL,"오색 빛의 벽돌로 지어진 모습이 마치 예쁜 펜션을 연상시키는 대궐파크 모텔은 외부만큼 내부가 대궐 같은 모텔입니다. 양옆으로 줄지어 놓인 예쁜 화분이 놓인 정문 계단을 들어서면 내부로 연결되는데, 방안에 들어서면 창문으로 햇빛이 비쳐 환하고 넓은 방안이 한눈에 들어옵니다.",강원특별자치도 속초시 부월1길 38,128.5955054,38.18951758,033-633-1988,2024-12-24,2024-12-31
설악파인리조트,RESORT,"설악의 대자연이 만들어 내는 편안한 휴식, 온가족이 함께 자연속에서 안락하게 머무를 수 있는 리조트입니다.",강원특별자치도 속초시 관광로408번길 14,128.5389131,38.19573242,033-635-5800,2024-12-24,2024-12-31
더 레드 하우스,MOTEL,"더 레드 하우스는 동해안의 바닷가와 설악산 어느 곳으로도 편리하게 이동 가능한 요지에 있으며, 여럿이든 다정한 연인이든 사계절 설악과 동해안을 모두 만끽하고 가실 수 있습니다.",강원특별자치도 속초시 설악산로836번길 17,128.5164548,38.16961836,033-636-7127,2024-12-24,2024-12-31
리센 오션파크 속초,HOTEL,대중교통 이용이 편리하며 시원하고 아름다운 속초해수욕장이 바로 앞에 위치한 호텔입니다 모던하고 깔끔한 느낌의 외관과 항상 청결하고 쾌적하게 관리되는 객실이 마련되어 있습니다,강원특별자치도 속초시 해오름로 167,128.6032825,38.18896779,033-756-0317,2024-12-24,2024-12-31
두호텔,MOTEL,공원+호수+바다를 모두 경험할 수 있는 천헤의 입지조건을 갖춘 소형호텔입니다 2020년부터 4년연속 THE BEST 우수숙박업소로 선정 2022년 12월 한국관광공사 품질인증 최고등급인 프리미어 수상,강원특별자치도 속초시 엑스포로 139,128.5815592,38.19660815,010-4895-3515,2024-12-24,2024-12-31
등대비치 레지던스 호텔,HOTEL,신비스러운 자연호수 영랑호와 영금정 등대 등 다양한 관광지가 있습니다 2020년 속초시청에서 공중 위생관리법에 근거한 최우수 등급을 받은 호텔입니다,강원특별자치도 속초시 영랑해안4길 7,128.5963739,38.214623,033-633-5050,2024-12-24,2024-12-31
라마다속초호텔,HOTEL,"아름다운 일출과 야경을 객실에서 편안하게 감상할 수 있는 라마다속초 호텔은 대포항 바로 인근에 위치하고 있어 휴양과 관광, 단체 행사등 모두 용이한 최적의 호텔입니다",강원특별자치도 속초시 대포항희망길 106 속초라마다해양호텔,128.6101517,38.17429741,010-3579-2646,2024-12-24,2024-12-31
강동리조트 프라이빗콘도,RESORT,경주의 주요 관광지들과의 거리가 가까워 편리하며 자연 속에서 편안한 휴식을 즐길 수 있는 리조트입니다,경상북도 경주시 보불로 391,129.2952942,35.82280506,010-3495-7851,2024-12-24,2024-12-31
경주 감포한옥펜션,PENSION,야외에서 불멍을 즐기실 수 있습니다,경상북도 경주시 감포읍 감포로10길 40-11,129.5008737,35.81532648,010-7511-2688,2024-12-24,2024-12-31
경주 노벰버키즈앤스파,HOTEL,자연 속에서 누리는 여유로움과 다양한 레저 시설로 완벽한 힐링을 제공합니다.,경상북도 경주시 감포읍 감포로 226-4,129.5090676,35.80809134,010-3370-3321,2024-12-24,2024-12-31
까사미니호텔,HOTEL,감각적인 디자인과 아늑한 분위기로 잊지 못할 숙박 경험을 선사합니다.,경상북도 경주시 금성로259번길 28,129.2041878,35.84102073,054-777-3355,2024-12-24,2024-12-31
경주 아드리아 펜션,PENSION,아드리아를 방문해 주셔서 감사합니다 보문 단지 언덕 위에 빨간 지붕에 하얀 아드리아 창문을 활짝 열어 데크에 소중한 사람과 밖을 내다보세요,경상북도 경주시 천군1길 13,129.2771372,35.83318966,054-775-0158,2024-12-24,2024-12-31
블루원리조트,RESORT,경주의 주요 관광지들과의 거리가 가까워 편리하며 자연 속에서 편안한 휴식을 즐길 수 있는 리조트입니다,경상북도 경주시 보불로 391,129.2952942,35.82280506,054-293-2848,2024-12-24,2024-12-31
경주 포시즌 게스트하우스,GUESTHOUSE,학생들을 위한 다양한 프로그램이 각 분야 전문가들로 구성되어 이용에 불편이 없도록 최선을 다하여 준비할 것을 약속드립니다.,경상북도 경주시 영불로 217,129.3256566,35.78241019,054-743-2202,2024-12-24,2024-12-31
경주수호정,GUESTHOUSE,"황리단길 바로 옆에 자리해 경주의 핫플레이스 맛집의 즐거움을 느끼기 좋고, 주변에 대릉원, 첨성대, 안압지, 교촌한옥마을 등 유명 관광지가 있습니다",경상북도 경주시 포석로1068번길 15-15,129.2110984,35.83685744,010-2379-7248,2024-12-24,2024-12-31
경주스위트호텔,HOTEL,깔끔한 느낌의 외관과 항상 청결하고 쾌적하게 관리되는 호텔입니다,경상북도 경주시 보문로 280-12,129.2774338,35.85384844,010-3348-0174,2024-12-24,2024-12-31
경주애견펜션 노비오스,PENSION,애견동반 가능한 펜션입니다,경상북도 경주시 진티길 37-4,129.3302729,35.78211865,010-4595-4623,2024-12-24,2024-12-31
광장호텔,HOTEL,"부산항이 한눈에 내려다보이는 전망을 통해 부산의 경치를 마음껏 감상해 보실 수 있습니다 호텔 주변으로 부산역, 시티투어 정류장, 부산국제여객 터미널, 김해공항등이 인접해 있어 부산전역 어디든 편리하게 관광을 즐기실 수 있습니다",부산광역시 동구 중앙대로214번길 7,129.0413666,35.11621584,051-464-3141,2024-12-24,2024-12-31
그레이193호텔,HOTEL,벡스코와 광안리 해수욕장등 부산을 대표하는 다양한 관광지와 함께하고 있습니다 깨끗하고 아름다운 객실 내에서 편안함 밤을 보낼 수 있습니다,부산광역시 수영구 광안해변로278번길 42 오션브릿지,129.1245417,35.15401037,010-6740-8889,2024-12-24,2024-12-31
노떼 라 미아 호텔,HOTEL,모던한 인테리어와 멋진 스타일을 가지고 있는 부산 내의 신축호텔입니다 최고의 서비스와 아늑한 객실을 보유하고 있어 즐거운 숙박이 되도록 도움을 드립니다,부산광역시 동구 대영로 265,129.0397363,35.11184686,010-7456-4045,2024-12-24,2024-12-31
녹천호텔 ,HOTEL,리모델링을 마치고 쾌적하고 편안한 시설로 새로 단정한 호텔입니다 최상의 서비스와 호텔의 자랑 온천으로 성의껏 보답합니다,부산광역시 동래구 금강공원로26번길 31,129.0808965,35.22053544,051-553-1005,2024-12-24,2024-12-31
더엠모텔,MOTEL,"광안리 ""더 엠"" 입니다! 광안리 해수욕장 바로 앞에 위치하고 있으며, 최신식 리모델링 시설과 친절한 서비스로 고객님들께 보답하겠습니다. 감사합니다",부산광역시 수영구 민락수변로7번길 20,129.1248278,35.15535189,051-751-7891,2024-12-24,2024-12-31
더파크 게스트하우스,GUESTHOUSE,광안리 해변 도보 약 1분거리입니다 부산을 여행하는 게스트들을 위한 소규모가정집 같은 분위기의 게스트하우스입니다,부산광역시 수영구 광남로 151,129.1177812,35.15484348,010-5822-3755,2024-12-24,2024-12-31
더펫텔프리미엄스위트,HOTEL,"국내 최초 애견 동반 전용 호텔로 고품격 애견카페와 애견호텔, 동물병원을 운영하고 있습니다 반려동물과 함께 지낼 수 있는 깔끔하고 편안한 객실이 준비되어 있습니다 해운대역, 해운대 해수욕장과 도보 10분 내 이동 가능합니다",부산광역시 해운대구 해운대해변로197번길 12,129.1531419,35.15924087,010-8041-5826,2024-12-24,2024-12-31
라마다 앙코르 바이윈덤 부산역 호텔,HOTEL,"라마다 앙코르 바이 윈덤 부산역은 446객실을 보유한 4성급 호텔로 비즈니스와 관광을 위한 최적의 장소인 부산역 광장에 위치하고 있습니다 부산역에서 1분 거리, 지하철역에서 1분 거리에 위치하여 최고의 입지를 자랑합니다",부산광역시 동구 중앙대로196번길 10 부산역라마다앙코르호텔,129.0403529,35.11428271,010-8053-1598,2024-12-24,2024-12-31
라마다 앙코르 바이윈덤 부산해운대,HOTEL,"지하철 해운대역 3번출구 앞에 위치하여, 해운대거리와 해운대해수욕장을 도보로 이용 가능합니다 다양하고 품격있는 시설과 섬세한 서비스, 아늑한 휴식을 제공하는 글로벌 호텔입니다 낭만적인 인테리어와 프라이버시를 위한 절제된 디자인으로 일상에서 벗어난 특별한 경험을 느낄 수 있습니다",부산광역시 해운대구 구남로 9,129.159644,35.16331275,051-610-3000,2024-12-24,2024-12-31
라발스호텔,HOTEL,파격의 철학으로 시작된 다름의 미학으로 단순한 호텔이 아닌 도시를 품어내는 호텔로 탄생했습니다 최적의 위치는 물론 부산의 야경을 한눈에 담을 수 있는 최상의 뷰를 자랑합니다,부산광역시 영도구 봉래나루로 82,129.0391369,35.09455434,051-790-1500,2024-12-24,2024-12-31
골든파크 호텔,HOTEL,"골든파크호텔은 여수 관광의 최적의 입지를 자랑합니다. 여수EXPO역 인근에 있어 박람회장 제1문에서 도보로 1분거리, 오동도에서 5분 거리에 위치하여 여수 여행의 시작과 끝을 함께 하실 수 있습니다.",전라남도 여수시 오동도로 75,127.7504446,34.74353449,061-665-1400,2024-12-24,2024-12-31
다이아모텔,MOTEL,"여수 교동에 위치한 다이아 입니다 ^ㅡ^ 이순신광장,여객선터미널,낭만포차와 가까운 곳에 위치하고 있습니다. 항상 최상의 서비스와 객실을 제공할 수 있도록 노력하겠습니다! 감사합니다 :)",전라남도 여수시 교동남1길 6-3,127.7333018,34.73967351,061-663-3347,2024-12-24,2024-12-31
드림모텔,MOTEL,실용적인 공간과 세련된 인테리어로 짧지만 만족스러운 숙박을 제공합니다.,전라남도 여수시 둔덕3길 14,127.7018982,34.76820588,061-653-9668,2024-12-24,2024-12-31
디아크리조트,RESORT,시원한 바람이 볼을 타고 흐르며 청량한 바다 내음이 가슴 깊숙이 밀려들어 옵니다 신선한 바닷바람이 기분 좋게 불어오는 곳입니다,전라남도 여수시 돌산읍 돌산로 3169-30,127.7575506,34.7018115,010-4574-8409,2024-12-24,2024-12-31
디오션리조트,RESORT,"거북선을 직접 타볼 수 있는 이순신광장, 돌산공원, 오동도까지 차량 40분 거리로 주변관광지와의 접근성이 뛰어납니다",전라남도 여수시 소호로 295,127.6439847,34.73248666,1588-0377,2024-12-24,2024-12-31
라마다프라자 바이윈덤 여수,HOTEL,"특 1급 프리미엄 호텔에서 여수의 아름다운 바다를 한눈에 볼 수 있는 인피니티 풀과, 국내 최고 높이의 짚트랙을 동시에 즐기세요",전라남도 여수시 돌산읍 강남로 11,127.7482982,34.71704575,061-642-0000,2024-12-24,2024-12-31
라테라스 부티크 리조트 앤 스파,RESORT,"여수 라테라스 리조트에서는 여수의 푸른 하늘, 넓은 바다를 한눈에 담을 수 있습니다. 복잡한 일상에서 벗어나 선물같은 하루를 보낼 수 있는 모던하고 감각적인 부티크 리조트를 느껴보세요",전라남도 여수시 돌산읍 진모1길 29-12,127.7565088,34.70879126,061-643-3500,2024-12-24,2024-12-31
렉시모텔,MOTEL,색다른 콘셉트와 독특한 분위기로 특별한 하루를 완성하세요.,전라남도 여수시 봉산남5길 11,127.7251359,34.73475725,061-641-7376,2024-12-24,2024-12-31
로젠모텔,MOTEL,깔끔한 객실과 조용한 환경에서 피로를 풀 수 있는 최적의 공간입니다.,전라남도 여수시 미평남1길 53-6,127.7033176,34.76525901,061-651-3430,2024-12-24,2024-12-31
리츠모텔,MOTEL,감각적인 분위기와 아늑한 공간으로 소중한 순간을 더욱 특별하게 만들어 드립니다.,전라남도 여수시 거북선공원1길 8,127.6650044,34.76128935,061-683-1066,2024-12-24,2024-12-31
가은채,GUESTHOUSE,가은채는 아름답고 은밀한 집이라는 의미인데 일년에 천만명이 방문하는 전주한옥마을 내의 한국관광공사 인증 전통한옥체험 숙박으로서 1969년 건축된 한옥을 여러분들이 만족하실 만큼 정성을 들여서 보수를 완료하였습니다,전북특별자치도 전주시 완산구 한지길 68-13,127.1532918,35.81706407,010-6345-5267,2024-12-24,2024-12-31
강령전,GUESTHOUSE,"안녕하세요~^^ 강령전은 전주한옥마을 중심부에 위치하여 찾아오시기가 쉬우며, 전주한옥마을 관광 장소들을 도보10분이내에 만나보실 수 있습니다. 메인거리에 있지만 골목안으로 살짝 들어와 위치해 있어 조용하고 고즈넉한 한옥의 정감을 느끼실 수 있습니다.",전북특별자치도 전주시 완산구 태조로 26-24,127.1519253,35.81500872,010-8386-5732,2024-12-24,2024-12-31
고유,GUESTHOUSE,고유(高遊)는 이름 그대로 세속을 떠난 곳에서의 놀이란 의미를 가지고 있습니다 일상에 지친 사람들이 고유안에서 잠시나마 휴식을 취하고 힘을 얻어 갈 수 있게 하는 것이 저희 고유만의 목표입니다,전북특별자치도 전주시 완산구 향교길 51-5,127.1523281,35.8121035,063-284-2588,2024-12-24,2024-12-31
고현당,GUESTHOUSE,"모든 객실에 천연 목재, 황토, 한지와 같은 친환경 소재를 사용하여 아름다운 우리나라의 전통 한옥을 그대로 체험할 수 있습니다 더불어 모든 방에는 현대식 화장실이 갖추어져 있어 여행의 편안함을 더욱 느끼실 수 있습니다 복잡한 일상에서 벗어나 마치 고향 집에 놀러 온 듯한 편안한 서비스로 최선을 다하여 모시겠습니다",전북특별자치도 전주시 완산구 한지길 112-3,127.1537251,35.81529205,010-5332-3673,2024-12-24,2024-12-31
